brand,perfume,notes
Lulu Castagnette,Luluforever,"pineapple, pear, rose hip, jasmine, sandalwood, cedar, white musk, yuzu, cherry, bergamot"
Lulu Castagnette,Pi ge de Lulu Castagnette,"lotus, almond, ground cherry, patchouli, oakmoss, vanilla, bergamot, mandarin orange, orange"
Lulu Castagnette,Les Delices,"lemon blossom, peony, sweet notes, amber, vanilla, white musk, grapefruit, lemon, green tea"
Lulu Castagnette,Les Plaisirs,"orange blossom, freesia, fig, vetiver, musk, lorenox, lemon, bergamot, pear"
Lulu Castagnette,Les Rendez Vous,"rose, peony, violet, peach, vanila, cedar, white musk, lime, red berries, pear"
L Arc,M moire Carnet de voyage,"violet, saffron, lily-of-the-valley, rose, vetiver, cedar, musk, patchouli, sandalwood, bergamot, pineapple, black currant"
L Arc,Aventure Jasmin de Karnak,"jasmine, ylang-ylang, sandalwood, musk, vanilla, bergamot, mandarin orange, peach"
L Arc,Balade Tiare de Tahiti,"tiare flower, peony, jasmine, gardenia, sandalwood, musk, patchouli, tangerine, rose, honeysuckle"
L Arc,Escapade Vanille des Illes,"rose, vanilla, musk, peach"
L Arc,Evasion Digo de Havane,"honey, dark chocolate, vanila, cedar, cinnamon, lavender, tobacco leaf"
L Arc,Travers e C dre d Ifrane,"violet, cedar, ambergris, musk, leather, birch"
L Artisan Parfumeur,Aedes de Venustas,"pepper, rose, iris, cedar, patchouli, coffee, opoponax, benzoin, oakmoss, orange, pink pepper, cardamom, incense"
L Artisan Parfumeur,Al Oudh,"iris, neroli, saffron, incense, rose, agarwood (oud), leather, sandalwood, patchouli, virginia cedar, tonka bean, vanilla, myrrh, civetta, musk, cardamom, pink pepper, caraway, dates, orange blossom, dried fruits"
L Artisan Parfumeur,Ambre Extreme,"amber, vanilla, spices"
L Artisan Parfumeur,Ananas Fizz,"grapefruit, woodsy notes, pineapple"
L Artisan Parfumeur,Au Bord de L eau,"bergamot, lemon, violet, musk, orange blossom, rosemary"
L Artisan Parfumeur,Batucada,"ylang-ylang, tiare flower, coconut, sea water, salt, lime, mint, sugar cane"
L Artisan Parfumeur,Bois Farine,"iris, sandalwood, musk, benzoin, jasmine, guaiac wood, cedar, woody notes, powdery notes"
L Artisan Parfumeur,Bucoliques de Provence,"iris, lavender, leather"
L Artisan Parfumeur,Caligna,"jasmine, mastic or lentisque, violet, pine needles, oak, ambroxan, clary sage, fig, rose, mandarin leaf"
L Artisan Parfumeur,Coeur de Vetiver Sacre,"saffron, coriander, tonka bean, vanille, bergamot, orange, tarragon, tea, pepper, dates, apricot, incense, french labdanum, osmanthus, rose, iris, sandalwood, virginia cedar, vetiver, guaiac wood, amber, castoreum, musk, violet leaf"
L Artisan Parfumeur,Cote d Amour,"cypress, immortelle, rose, pine, laburnum, woodsy notes, rosemary, grapefruit, tangerine"
L Artisan Parfumeur,Dr le de Rose,"iris, rose, violet, powdery notes, almond, leather, white honey, african orange flower, star anise"
L Artisan Parfumeur,Dzing,"leather, ginger, tonka bean, musk, white woods, caramel, saffron, toffee, candy apple, cotton candy"
L Artisan Parfumeur,Dzongkha,"spices, white tea, vetiver, incense, cedar, leather, iris, papyrus, peony, cardamom, litchi"
L Artisan Parfumeur,Fleur D Oranger,"orange, orange blossom, neroli, petitgrain"
L Artisan Parfumeur,Fleur de Carotte,"carrot, cucumber, tarragon, apricot, ginger"
L Artisan Parfumeur,Fleur de Liane,"marigold, tuberose, magnolia, orchid, woodsy notes, oakmoss, sea water, green notes"
L Artisan Parfumeur,Fleur de Narcisse,"mimosa, iris, narcissus, leather, white tobacco, oakmoss, black currant, water notes"
L Artisan Parfumeur,Fleur d Oranger 2007,"orange, neroli, orange blossom, beeswax"
L Artisan Parfumeur,Fou d Absinthe,"ginger, patchouli, pepper, nutmeg, star anise, cloves, balsam fir, incense, pine tree needles, black currant, angelica, wormwood"
L Artisan Parfumeur,Havana Vanille Vanille Absolument,"immortelle, narcissus, tonka bean, licorice, resin, musk, woodsy notes, leather, rum, tobacco, clove, vanilla, dried fruits"
L Artisan Parfumeur,Iris Pallida 2007,"iris, patchouli, violet leaf, vetiver, lily-of-the-valley, cedar, guaiac wood, white musk, amber, tuscan iris, orange blossom, rose mallow, turkish rose, anise"
L Artisan Parfumeur,Jatamansi,"chamomile, rose, ylang-ylang, nard himalayan (jatamansi), vetiver, sandalwood, patchouli, guaiac wood, incense, tea, papyrus, cardamom, bergamot, grapefruit, clary sage"
L Artisan Parfumeur,Jour de Fete,"iris, vanille, almond, wheat"
L Artisan Parfumeur,L Eau d Ambre,"amber, patchouli, vanilla, geranium"
L Artisan Parfumeur,L Eau de L Artisan,"basil, mint, lemon, verbena, marjoram, woody notes, tea, moss"
L Artisan Parfumeur,L eau du Caporal,"lemon, tangerine, geranium, lavender, cedar, patchouli, vetiver, oakmoss"
L Artisan Parfumeur,L Eau du Navigateur,"coffee, spices, woodsy notes, floral notes, rum, resin, incense, tobacco, leather, cedar, myrrh"
L Artisan Parfumeur,La Chasse aux Papillons,"tuberose, orange blossom, jasmine, lime blossom, white flowers"
L Artisan Parfumeur,La Chasse aux Papillons Extreme,"jasmine, orange blossom, tuberose, lime (linden) blossom, ylang-ylang, honey, citruses, pink pepper, saffron, apricot"
L Artisan Parfumeur,La Haie Fleurie,"jasmine, african orange flower, narcissus, ylang-ylang, oak moss, vanille, honeysuckle"
L Artisan Parfumeur,L Ete en Douce Extrait de Songe,"orange blossom, lime (linden blossom), white woods, white musk, rose"
L Artisan Parfumeur,L Ete en Douce,"orange blossom, white musk, rose, green grass, lime (linden) blossom, hay, woody notes"
L Artisan Parfumeur,Mandarine,"virginia cedar, ginger, mandarin orange, frangipani"
L Artisan Parfumeur,Mandarine Tout Simplement,"mandarin orange, ginger, cedar, frangipani"
L Artisan Parfumeur,Mechant Loup,"hazelnut, honey, sandalwood, cedar, licorice, myrrh, woody notes, praline"
L Artisan Parfumeur,Mimosa Pour Moi,"violet leaf, mimosa, vanilla, cassis"
L Artisan Parfumeur,Mon Numero 1,"vanille, mimosa, pear"
L Artisan Parfumeur,Mon Numero 10,"leather, incense, rose, geranium, jasmine, leather, musk, vanilla, benzoin, hyrax, heliotrope, tonka bean, atlas cedar, styrax, ambergris, fennel, bergamot, aldehydes, pink pepper, cinnamon, cabreuva, cardamom"
L Artisan Parfumeur,Mon Numero 3,"vetiver, lavender, iris"
L Artisan Parfumeur,Mon Numero 4,"lavender, leather, vanilla"
L Artisan Parfumeur,Mon Numero 6,"green notes, woodsy notes, litchi, magnolia, sandalwood, floral notes"
L Artisan Parfumeur,Mon Numero 7,"jasmine, tuberose, tea, spices, gardenia, rose, incense"
L Artisan Parfumeur,Mon Numero 8,"musk, iris, jasmine"
L Artisan Parfumeur,Mon Numero 9,"citron, green notes, rhuburb"
L Artisan Parfumeur,Mure et Musc,"blackberry, red berries, musk, oakmoss, amalfi lemon, orange, mandarin orange, basil"
L Artisan Parfumeur,Mure et Musc Cologne,"blueberry, mandarin orange, jasmine, blackberry, musk, basil, grapefruit, bergamot"
L Artisan Parfumeur,Mure Et Musc Extrait de Parfum,"iris, rose, blackberry, musk, patchouli, oakmoss, leather, bergamot, kumquat, basil, red currant, pepper"
L Artisan Parfumeur,Mure et Musc Extreme,"musk, blackberry, red berries, bergamot"
L Artisan Parfumeur,Mure Et Musc Extreme Edition Limitee Pour Le Printemps,"cassis, blackberry, red berries, musk, bergamot, petitgrain"
L Artisan Parfumeur,Navegar,"lime, pepper, star anise, ginger, rum, cedar, guaiac wood, incense"
L Artisan Parfumeur,Noir Exquis,"orange blossom, coffee, maple sap, ebony, heliotrope, vanilla, tonka bean, sandalwood, chestnut, orange"
L Artisan Parfumeur,Nuit de Tubereuse,"tuberose, rose, ylang-ylang, mango, precious woods, musk, resins, angelica, pink pepper, cloves, mandarin orange"
L Artisan Parfumeur,Oeillet Sauvage,"carnation, ylang-ylang, vanille, pink pepper, rose, lily, resin, wallflower"
L Artisan Parfumeur,Orchidee Blanche,"orchid, vanilla, powdery notes"
L Artisan Parfumeur,Passage d Enfer,"lily, incense, woodsy notes, musk"
L Artisan Parfumeur,Patchouli Patch,"iris, patchouli, osmanthus, white musk, sandalwood, vetiver, cedar, caraway, patchouli, white musk, star anise"
L Artisan Parfumeur,Piment Brulant,"amber, cinnamon, musk, poppy, vanilla, dark chocolate, cacao, clove, chili pepper"
L Artisan Parfumeur,Poivre Piquant,"honey, white pepper, milk, licorice, sugar, woody notes"
L Artisan Parfumeur,Premier Figuier,"fig, sandalwood, almond milk, lime, coconut, dried fruits, sandalwood, fig leaf, asafoetida"
L Artisan Parfumeur,Premier Figuier Extreme,"coconut milk, sandalwood, dried fruits, fig leaf, almond milk, fig, fig tree"
L Artisan Parfumeur,Riviera Palace,"woody notes, moss"
L Artisan Parfumeur,Rose Priv e,"basil, lilac, carnation, hay, magnolia, may rose, patchouli, violet leaf, amber"
L Artisan Parfumeur,Safran Troublant,"passion flower, sandalwood, red rose, vanilla, saffron, sugar, ginger"
L Artisan Parfumeur,Santal,"woody notes, oakmoss, sandalwood"
L Artisan Parfumeur,Seville a l Aube,"lavender, orange blossom, beeswax, tobacco, jasmine, benzoin, olibanum, petitgrain, olive blossom"
L Artisan Parfumeur,Sur L Herbe,"amber, white musk, neroli, green notes"
L Artisan Parfumeur,Tea for Two,"cinnamon, ginger, spices, gingerbread, honey, vanilla, leather, tobacco, bergamot, star anise, tea"
L Artisan Parfumeur,The Pour Un Ete,"tea, jasmine, bergamot, amalfi lemon, mint, mate, cedar, musk"
L Artisan Parfumeur,Timbuktu,"papyrus, incense, karo karounde, patchouli, benzoin, vetiver, myrhh, pink pepper, mango, cardamom"
L Artisan Parfumeur,Traversee du Bosphore,"saffron, leather, pink tulip, iris, tobacco, rose, white honey, sugar, pistachio, musk, nougat, red apple, pomegranate, spicy notes"
L Artisan Parfumeur,Tubereuse,"tuberose, ylang-ylang, coconut milk"
L Artisan Parfumeur,Un Zeste d Et,"lemon, lemon blossom, rose, bergamot, star anise, cedar, pine tree"
L Artisan Parfumeur,Vanilia,"ylang-ylang, vanilla, sandalwood"
L Artisan Parfumeur,Verte Violette,"iris, violet, violet leaf"
L Artisan Parfumeur,Voleur de Roses,"patchouli, rose, plum"
L Artisan Parfumeur,Amour Nocturne,"cedar, milk, caramel, gunpowder, orchid"
L Artisan Parfumeur,Deliria,"metallic notes, rum, toffee, candy apple, cotton candy"
L Artisan Parfumeur,Haute Voltige,"red peony, juniper berries, woody notes, oakmoss, balsam fir, pomegranate, black pepper"
L Artisan Parfumeur,Onde Sensuelle,"cumin, juniper, ginger, saffron, cardamom, jasmine, black pepper, white pepper, cinnamon, cloves, natural musk, amber, agarwood (oud), bergamot, grapefruit"
L Artisan Parfumeur,Rappelle Toi,"gardenia, incense, sandalwood, musk, honey, gin, sichuan pepper"
L Artisan Parfumeur,Skin on Skin,"iris, suede, saffron, whiskey, lavender, rose, musk"
L Artisan Parfumeur,32 Venenum,"bread, milk, black tea, spicy notes, sandalwood"
L Artisan Parfumeur,Natura Fabularis 18 Glacialis Terra,"vetiver, absinthe, floral notes, green notes"
L Artisan Parfumeur,Natura Fabularis 2 Violaceum,"violet, carrot, iris, saffron"
L Artisan Parfumeur,Natura Fabularis 26 Tenebrae,"fir, woody notes, earthy notes, olibanum"
L Artisan Parfumeur,Natura Fabularis 60 Mirabilis,"olibanum, ambroxan, woody notes, earthy notes, musk"
L Artisan Parfumeur,Natura Fabularis 9 Arcana Rosa,"bulgarian rose, vetiver, juniper, cedar, sandalwood, labdanum"
L Atelier Boheme,Alice,"pear, apple, jasmine, tea, licorice, spicy notes"
L Atelier Boheme,Clementine Aux Papillons,"maple sap, pepper, wildflowers, violet, saffron"
L Atelier Boheme,Cyclamen,"rose, lily-of-the-valley, cyclamen, musk, amalfi lemon, tangerine"
L Atelier Boheme,Fil de Soie,"sandalwood, patchouli, virginia cedar, leather, sage, basil"
L Atelier Boheme,Helianthe,"ylang-ylang, sunflower, sandalwood, pear, green notes"
L Atelier Boheme,Immortelle,"pomegranate, floral notes, immortelle, amber, bergamot, mandarin orange"
L Atelier Boheme,Kafeine,"sandalwood, virginia cedar, tea, tonka bean, caramel, cardamom, bergamot, coffee"
L Atelier Boheme,L amante Douce,"anise, spices, pear, fennel, jasmine, apple, licorice, sugar"
L Atelier Boheme,La Pensees De Violette,"fig, plum, violet"
L Atelier Boheme,La Pivoine d Orthense,"salt, peony, hortensia, cotton flower"
L Atelier Boheme,La Tete Dans Les Etoiles,"woody notes, caramel, iris, rose, ozonic notes, powdery notes, galbanum"
L Atelier Boheme,Lea Aux Yeux Lilas Aimait Les Geraniums,"geranium, lilac, floral notes, amber, musk"
L Atelier Boheme,Rhizomes,"iris, rose, violet, vetiver, musk, licorice, ginger, grapefruit, amalfi lemon"
L Atelier Boheme,Tiare Moana,"coconut, tiare flower, patchouli, hibiscus, tangerine, banana"
L Atelier Boheme,To Tane,"pepper, woody notes, black locust, vanilla, coriander, sandalwood, black currant"
L Atelier des Bois de Grasse,Ambre Pamplemousse Rose,"rose, violet, cedar, cypriol oil or nagarmotha, vetiver, elemi, sandalwood, immortelle, ambergris, rum, lemon, pink grapefruit"
L Atelier des Bois de Grasse,Bois de Cedre Petitgrain,"lavender, rose, petitgrain, ylang-ylang, iris, orange blossom, cedar, patchouli, ambergris, musk, amber, praline, vanilla, sandalwood, woody notes, lemon, bergamot, lime, orange, elemi, cinnamon, grapefruit"
L Atelier des Bois de Grasse,Cuir Iris,"lily-of-the-valley, iris, cedar, leather, vanilla, tobacco, musk, pink pepper, peru balsam, artemisia"
L Atelier des Bois de Grasse,Fleur d Oranger Baie Rose,"orange blossom, elemi, petitgrain, white musk, incense, ambergris, cedar, mandarin orange, bergamot, ginger, fig"
L Atelier des Bois de Grasse,Rose Bois de Gaiac,"damask rose, guaiac wood, cashmere wood, patchouli, vanilla, sandalwood, saffron, lime"
L Essence des Notes,Cardamome Embruns,"incense, rosemary, sea notes, vetiver, musk, amber, bergamot, cardamom, green accord"
L Essence des Notes,Citron Petitgrain,"rose de mai, sage, lavender, petitgrain, musk, balsam fir, lemon, mandarin orange, thyme"
L Essence des Notes,Lavande Romarin,"lavender, rosemary, musk, tonka bean, bergamot, mandarin orange"
L Essence des Notes,Myrte Bergamote,"lavender, orange blossom, sage, jasmine, patchouli, musk, cedar, vanilla, bergamot, coriander, nutmeg, myrtle"
L Essence des Notes,Neroli Bois de Gaiac,"orange blossom, lavender, nutmeg, neroli, guaiac wood, oakmoss, bergamot, thyme, pepper"
L Essence des Notes,Orange Litsee,"cardamom, marjoram, artemisia, vetiver, basil, lemon, bergamot, orange"
L Essence des Notes,Pamplemousse Basilic,"carrot, lily-of-the-valley, sage, jasmine, rose, musk, black currant, grapefruit, basil"
L Essence des Notes,Vetiver Patchouli,"black pepper, rhubarb, incense, cedar, patchouli, vetiver, bergamot, red berries, grapefruit"
L Essence des Notes,Oud d Angkor,"atlas cedar, saffron, myrrh, cypriol oil or nagarmotha, labdanum, patchouli, vetiver, agarwood (oud), african geranium, pimento, chamomile"
L Essence des Notes,Oud de Kyara,"saffron, tuberose, atlas cedar, myrrh, patchouli, vetiver, agarwood (oud), african geranium, chamomile, ylang-ylang"
L Essence des Notes,Rose de Kelaa,"damask rose, jasmine, plum, patchouli, vetiver, oakmoss, galbanum, lemon, basil"
L Occitane en Provence,4 Reines,"turkish rose, moroccan rose, bulgarian rose, rose de mai"
L Occitane en Provence,Ambre,"labdanum, tonka bean, amber, vanilla, cedar, bergamot, freesia"
L Occitane en Provence,Arlesienne,"grasse rose, lily-of-the-valley, violet, sandalwood, white woods, tonka bean, mandarin orange, saffron"
L Occitane en Provence,Arl sienne,"may rose, violet leaf, sandalwood, white musk, ambroxan, ambrette (musk mallow), bergamot, saffron, galbanum"
L Occitane en Provence,Calanques,"water notes, jasmine, woodsy notes, cypress, pine, benzoin, amalfi lemon, mandarin orange, pistachio"
L Occitane en Provence,Cerisier Pastel Eau L g re,cherry blossom
L Occitane en Provence,Dama Da Noite,"mandarin orange, cardamom, lavender, night blooming jasmine"
L Occitane en Provence,Delice des Fleurs,"may rose, violet, lilac, violet leaf, sandalwood, vanilla, mandarin orange, big strawberry, black currant, sugar"
L Occitane en Provence,Delice des Fruits,"amalfi lemon, clementine, sugar"
L Occitane en Provence,Eau d Azur,"mimosa, musk, heliotrope, cedar, bergamot"
L Occitane en Provence,Eau d Iparie,"incense, myrrh"
L Occitane en Provence,Eau de Cade,"immortelle, juniper, cedar, bergamot"
L Occitane en Provence,Eau de Cade,"cedar, pink pepper, juniper, labdanum, bergamot"
L Occitane en Provence,Eau de Cedrat,"nutmeg, ginger, cedar, cashmere wood, bergamot"
L Occitane en Provence,Eau de la Recolte Bleue,"lavender, musk, green notes, freesia, peach, woodsy notes"
L Occitane en Provence,Eau de Miel,honey
L Occitane en Provence,Eau de Vanilliers,"amber, musk, freesia, vanilla, jasmine, ylang-ylang, orchid"
L Occitane en Provence,Eau de V tyver,"nutmeg, guaiac wood, vetiver, cedar, leather, bergamot, lemon"
L Occitane en Provence,Eau des 4 Reines,"cassis, violet, heliotrope, cedar, rose"
L Occitane en Provence,Eau des 4 Voleurs,"juniper berries, clary sage, basil, cloves, cedar, bergamot, lemon"
L Occitane en Provence,Eau des 7 Fleurs,"mimosa, tuberose, iris, jasmine, neroli, rose, narcissus"
L Occitane en Provence,Eau des Baux,"cypress, incense, vanilla, tonka bean, pink pepper, cardamom"
L Occitane en Provence,Eau du Badian,"star anise, coriander, fig, mate, sage, grapefruit, basil, cassis"
L Occitane en Provence,Eau du Val Magnolia,"magnolia, tuberose, musk, freesia"
L Occitane en Provence,Eau Maman Bebe,"almond, floral notes, vanilla"
L Occitane en Provence,Feu d Orange Intense Eau de Toilette,"blood orange, sweet orange, vanilla, guaiac wood, vetiver, incense, tangerine, lemon"
L Occitane en Provence,Fleur Cherie,"jasmine, african orange flower, musk, patchouli, virginia cedar, citruses, green notes, cassis, neroli"
L Occitane en Provence,Fleurs de Brignoles Plum Blossom,"plum blossom, almond, , "
L Occitane en Provence,L Occitan Eau de Toilette,"nutmeg, cinnamon, tonka bean, musk, woodsy notes, black pepper, lavender"
L Occitane en Provence,Lavender Eau de Cologne,"lavender, woodsy notes, musk, citruses"
L Occitane en Provence,Lavender Eau de Toilette,"freesia, peach, tagetes, cedar, incense, musk, green notes, lavender, bergamot"
L Occitane en Provence,L Homme Cologne Cedrat,"watery notes, lavender, violet leaf, black pepper, ginger, pink pepper, cedar, amber, musk, citron, mint, watery notes"
L Occitane en Provence,Magical Leaves,"verbena, petitgrain, vanilla, hazelnut, citruses"
L Occitane en Provence,Marvellous Flowers,"rose, peony, white woods, white musk, red berries, pink grapefruit"
L Occitane en Provence,Miel Citron Honey Lemon,"honey, caramel, patchouli, vanilla, cinnamon, lemon"
L Occitane en Provence,Miel Citron Pailletee Shimmering,"freesia, african orange flower, white honey, vanilla, apricot, green notes, amalfi lemon"
L Occitane en Provence,Miel Vanille Honey Vanilla,"white honey, caramel, patchouli, vanille, cinnamon, amalfi lemon"
L Occitane en Provence,Neroli Eau de Parfum,neroli
L Occitane en Provence,Orange Leaves Eau de Cologne,"petitgrain, bergamot, bitter orange, mandarin orange"
L Occitane en Provence,Organic Certified Lavender Fragrance,"lavender, wildflowers"
L Occitane en Provence,Peach Blossom,"peach blossom, peony, almond, tonka bean, musk, virginia cedar, iris, peach, bergamot, amalfi lemon"
L Occitane en Provence,Peony,"rose, peony, musk, sandalwood, bergamot, grapefruit"
L Occitane en Provence,Pivoine Delicate,"lily-of-the-valley, peony, green notes, rose"
L Occitane en Provence,Pivoine Flora 2015,"peony, rose, sandalwood, white musk, grapefruit, bergamot"
L Occitane en Provence,Pivoine Flora Eau de Parfum,"violet, magnolia, peony, musk, virginia cedar, vanille, bergamot, grapefruit, green notes"
L Occitane en Provence,Pivoine Flora Eau de Toilette,"rose, peony, musk, sandalwood, bergamot, grapefruit"
L Occitane en Provence,Rose Reine,"rose, apricot, grasse rose, blueberry, raspberry, turkish rose, red currant, bergamot"
L Occitane en Provence,Rose 4 Reines,"bulgarian rose, grasse rose, moroccan rose, turkish rose, white cedar extract, heliotrope, sandalwood, nutmeg, violet, black currant, red currant, bergamot"
L Occitane en Provence,Rose Aurore Eau Fraiche,"white rose, lotus, amber, citruses"
L Occitane en Provence,Rose Confite,"tincture of rose, fruity notes, sweet notes, sugar"
L Occitane en Provence,Rose des Champs,"wildflowers, wild rose, pear, tonka bean, cedar, grass, lemon"
L Occitane en Provence,Rose Jardin Delice,"rose, raspberry, cranberry, musk, sandalwood, virginia cedar, bergamot, black currant, litchi"
L Occitane en Provence,Rose Neroli,"petitgrain, african orange flower, neroli, rose, fruity notes, amber, virginia cedar"
L Occitane en Provence,Rose Nuit de Mai,"violet, black currant, cinnamon, sandalwood, virginia cedar, vanilla, rose"
L Occitane en Provence,Roses et Reines,"bulgarian rose, grasse rose, turkish rose, moroccan rose, blackberry, raspberry, white cedar extract, heliotrope, musk, bergamot, cassia"
L Occitane en Provence,Roses et Reines Jardin Secret,"magnolia, grasse rose, black tea, cedar, bergamot, cassis"
L Occitane en Provence,Roses et Reines Rose Originelle,"grasse rose, turkey red rose, magnolia, violet, sandalwood, musk, bergamot, cassis, rose petals"
L Occitane en Provence,Ruban d Orange,"sicilian orange, fir, tonka bean, mandarin orange, bitter orange, vetiver, cedar, lemon"
L Occitane en Provence,The Bergamote Bergamot Tea,"bergamot, mandarin orange, grapefruit, cardamom, tea"
L Occitane en Provence,The Blanc White Tea,"orange, nutmeg, carnation, civet, oakmoss, tea, grapefruit, apple, cedar"
L Occitane en Provence,The Vert Green Tea,"green tea, mate, jasmine, nutmeg, cedar, thyme, bitter orange, orange"
L Occitane en Provence,The Vert a la Menthe Green Tea with Mint,"musk, green tea, jasmine, mint, caraway"
L Occitane en Provence,The Vert au Jasmin,"jasmine, cedar, caraway, bitter orange, orange, pomelo, cardamom"
L Occitane en Provence,Verdon,"mint, lavender, cedar, sea notes, bergamot, lemon"
L Occitane en Provence,Verveine Agrumes,"lemon verbena, citruses"
L Occitane en Provence,Bergamota e Bas lico,"mint, basil, lavender, bergamot, lemon"
L Occitane en Provence,Lavanda,"lavender, basil, patchouli, musk, bergamot, grapefruit"
L Occitane en Provence,Pimenta Rosa e Tangerina,"rose, freesia, musk, amber, bergamot, pink pepper"
L Occitane en Provence,Verbena C trica,"verbena, cedar, lemon, grapefruit"
L Occitane en Provence,Blossom Dew Ros e de Fleurs,"almond milk, sweet notes, vanilla"
L Occitane en Provence,Abra o,"floral notes, musk, milk, vanilla, woody notes, fruity notes"
L Occitane en Provence,Aguape,water hyacinth
L Occitane en Provence,Araucaria Poente,"pimento, amberwood, citruses"
L Occitane en Provence,Balanco de Rio,"bamboo, lemon"
L Occitane en Provence,Bromelia,bromelia
L Occitane en Provence,Capim Lim o,"citruses, lemongrass, water notes, spicy mint"
L Occitane en Provence,Cumaru,"exotic spices, tonka bean, sandalwood, amber"
L Occitane en Provence,Flor de Acerola,"acerola blossom, rose, jasmine, sugar cane, coconut, musk, lemon, mandarin orange, acerola"
L Occitane en Provence,Flor de Carambola,"rose, peach, carambola blossom, cedar, sandalowood, green apple, lemon, carambola (star fruit)"
L Occitane en Provence,Flor de Goiaba,"jasmine, rose, lily, green notes, vanilla, musk, guava blossom, guava, jacaranda"
L Occitane en Provence,Flor de Graviola,"citruses, spices, strawberry, pineapple, coconut, banana"
L Occitane en Provence,Gotas de Chuva,"lemon, mandarin orange, cloves"
L Occitane en Provence,Jenipapo,"watermelon, bergamot, citruses, exotic fruits, jasmine, mango, pi\u00f1a colada , lily, sandalwood, musk, vanilla"
L Occitane en Provence,Olinda,"floral notes, green notes, umbu-caj\u00e1 | tapereb\u00e1, sandalowood, amber, vanila, mandarin orange, green apple, cassis"
L Occitane en Provence,Vitoria Regia Flor da Noite,floral notes
L Occitane en Provence,Vitoria Regia Flor do Dia,"white flowers, green notes, water notes"
L Occitane en Provence,Cerisier Papillon,"peony, cherry, palisander rosewood, cherry extract, bay leaf, raspberry, rose"
L Occitane en Provence,Cerisier Rouge Eau Intense,"cherry, raspberry, lily-of-the-valley, white musk, heliotrope, olive tree, lemon, orange, black currant"
L Occitane en Provence,Cherry Cerisier,"peony, cherry, brazilian rosewood, cherry extract, bay leaf, raspberry, rose"
L Occitane en Provence,Cherry Blossom,"lily-of-the-valley, cherry blossom, brazilian rosewood, amber, musk, cherry, freesia, black currant"
L Occitane en Provence,Cherry Princess,"floral notes, woodsy notes, musk, grapefruit, amalfi lemon, cherry"
L Occitane en Provence,Fleurs de Cerisier Folie Florale,"cherry blossom, rose, violet, musk, mandarin orange, bergamot"
L Occitane en Provence,Fleurs de Cerisier L Eau,"japanese cherry blossom, rose, orchid, white flowers, woodsy notes, musk, lemon, black currant, watermelon"
L Occitane en Provence,Wild Cherry Tree Eau de Toilette,"cherry blossom, tincture of rose, musk, sandalwood, virginia cedar, amalfi lemon, black currant"
L Occitane en Provence,Eau Captivante,"basil, mint, woodsy notes, bergamot, lime"
L Occitane en Provence,Eau Ravissante,"floral notes, rose, musk, amber, citruses"
L Occitane en Provence,Eau Spontanee,"rose, red currant, cedar, musk, bergamot, nectarine, pomegranate"
L Occitane en Provence,Eau Universelle,"geranium, woodsy notes, bergamot, grapefruit"
L Occitane en Provence,Citrus Verbena Intense,"lemon verbena, lemon"
L Occitane en Provence,Citrus Verbena Summer,"lemon verbena, cedar, grapefruit, lemon"
L Occitane en Provence,Citrus Verbena Summer Fragrance 2009,"citruses, grapefruit, lemon verbena"
L Occitane en Provence,Frisson de Verveine,"verbena, cucumber, woody notes, musk, citruses, bergamot"
L Occitane en Provence,Verbena Mint,"verbena, mint, white wood, musk, grapefruit, lemon"
L Occitane en Provence,Verbena Sorbet,"lemon verbena, mint, woodsy notes, musk, grapefruit, lime"
L Occitane en Provence,Verbena Summer Secret 2010,"basil, lemon verbena, mint, musk, virginia cedar, red apple, anise"
L Occitane en Provence,Verbena Sun,"jasmine, african orange flower, citruses, vetiver, musk, virginia cedar, amalfi lemon, lemon verbena, grapefruit"
L Occitane en Provence,Verveine,"rose, geranium, lemon verbena, lemon tree"
L Occitane en Provence,Verveine Agrumes,"lemon verbena, cedar, lemon, grapefruit, orange"
L Occitane en Provence,Ambre Santal,"fig leaf, rose, sandalwood, cedar, labdanum, vanilla, bergamot, rosemary"
L Occitane en Provence,C dre Oranger,"cardamom, red berries, virginian cedar, vetiver, musk, orange, bergamot, pine needles"
L Occitane en Provence,Figuier Osmanthus,"fig leaf, osmanthus, cedar, musk, bergamot, black currant, fig"
L Occitane en Provence,Fleur d Or Acacia,"mimosa, black locust, broom, white woods, musk, lemon, bergamot"
L Occitane en Provence,Iris Bleu Iris Blanc,"white iris, iris, ylang-ylang, fig nectar, peach, white musk, cedar, citruses, black currant"
L Occitane en Provence,Jasmin Bergamote,"egyptian jasmine, jasmine, sandalwood, cedar, mandarin orange, petitgrain, bergamot"
L Occitane en Provence,Magnolia Mure,"magnolia, rose, patchouli, bergamot, blackberry"
L Occitane en Provence,Mer Mistral,"cypress, pine tree, rosemary, white amber, cedar, musk, lemon, tangerine"
L Occitane en Provence,N roli Orchid e,"neroli, peach, fig nectar, lily-of-the-valley, orchid, musk, iris, orange, mandarin orange"
L Occitane en Provence,Oud Rose,"grasse rose, cedar, patchouli leaf , agarwood (oud), vanilla, peony, bergamot"
L Occitane en Provence,Rose Osmanthus,"chinese osmanthus, grasse rose, white musk, white iris, vanilla, bergamot, green leaves"
L Occitane en Provence,The Vert Bigarade,"mate, thyme, musk, cedar, hay, bitter orange, green tea"
L Occitane en Provence,Vanille Narcisse,"narcissus, gardenia, tonka bean, vanila, black currant, bergamot"
